,Date,Module,Hand,Time,Stroke,Key,Speed
218,2020-11-30,deck-the-halls_withemily,right,1606781522.8108106,128,66,64
219,2020-11-30,deck-the-halls_withemily,right,1606781523.0558105,144,64,60
220,2020-11-30,deck-the-halls_withemily,right,1606781523.0748105,128,67,64
221,2020-11-30,deck-the-halls_withemily,right,1606781523.4478104,128,64,64
222,2020-11-30,deck-the-halls_withemily,right,1606781523.4678106,144,66,56
223,2020-11-30,deck-the-halls_withemily,right,1606781524.4578106,144,67,59
224,2020-11-30,deck-the-halls_withemily,right,1606781524.4698107,128,66,64
225,2020-11-30,deck-the-halls_withemily,right,1606781524.7938106,144,64,70
226,2020-11-30,deck-the-halls_withemily,right,1606781524.7998106,128,67,64
227,2020-11-30,deck-the-halls_withemily,right,1606781525.6058106,144,62,56
228,2020-11-30,deck-the-halls_withemily,right,1606781525.6078107,128,64,64
229,2020-11-30,deck-the-halls_withemily,right,1606781526.3188107,144,61,53
230,2020-11-30,deck-the-halls_withemily,right,1606781526.3348107,128,62,64
231,2020-11-30,deck-the-halls_withemily,right,1606781526.6488106,144,62,63
232,2020-11-30,deck-the-halls_withemily,right,1606781526.6618106,128,61,64
233,2020-11-30,deck-the-halls_withemily,right,1606781527.4658105,128,62,64
234,2020-11-30,deck-the-halls_withemily,right,1606781528.9218106,144,66,46
235,2020-11-30,deck-the-halls_withemily,right,1606781529.2848105,128,66,64
236,2020-11-30,deck-the-halls_withemily,right,1606781529.4328105,144,67,63
237,2020-11-30,deck-the-halls_withemily,right,1606781529.7958105,144,69,54
238,2020-11-30,deck-the-halls_withemily,right,1606781529.8088105,128,67,64
239,2020-11-30,deck-the-halls_withemily,right,1606781530.4308105,128,69,64
240,2020-11-30,deck-the-halls_withemily,right,1606781530.8478105,144,71,38
241,2020-11-30,deck-the-halls_withemily,right,1606781530.8838105,144,69,19
242,2020-11-30,deck-the-halls_withemily,right,1606781530.9288106,128,69,64
243,2020-11-30,deck-the-halls_withemily,right,1606781531.4668107,128,71,64
244,2020-11-30,deck-the-halls_withemily,right,1606781531.5148108,144,73,55
245,2020-11-30,deck-the-halls_withemily,right,1606781531.7218108,128,73,64
246,2020-11-30,deck-the-halls_withemily,right,1606781531.8178108,144,74,41
247,2020-11-30,deck-the-halls_withemily,right,1606781531.8288107,144,72,44
248,2020-11-30,deck-the-halls_withemily,right,1606781531.9588108,128,72,64
249,2020-11-30,deck-the-halls_withemily,right,1606781532.0338109,128,74,64
250,2020-11-30,deck-the-halls_withemily,right,1606781533.0338109,144,66,52
251,2020-11-30,deck-the-halls_withemily,right,1606781533.338811,128,66,64
252,2020-11-30,deck-the-halls_withemily,right,1606781533.370811,144,67,51
253,2020-11-30,deck-the-halls_withemily,right,1606781533.587811,128,67,64
254,2020-11-30,deck-the-halls_withemily,right,1606781533.692811,144,69,86
255,2020-11-30,deck-the-halls_withemily,right,1606781534.098811,128,69,64
256,2020-11-30,deck-the-halls_withemily,right,1606781534.258811,144,71,88
257,2020-11-30,deck-the-halls_withemily,right,1606781534.403811,128,71,64
258,2020-11-30,deck-the-halls_withemily,right,1606781534.539811,144,73,75
259,2020-11-30,deck-the-halls_withemily,right,1606781534.7188108,128,73,64
260,2020-11-30,deck-the-halls_withemily,right,1606781534.884811,144,74,88
261,2020-11-30,deck-the-halls_withemily,right,1606781535.397811,128,74,64
262,2020-11-30,deck-the-halls_withemily,right,1606781535.536811,144,73,84
263,2020-11-30,deck-the-halls_withemily,right,1606781535.8878112,128,73,64
264,2020-11-30,deck-the-halls_withemily,right,1606781536.1768112,144,71,88
265,2020-11-30,deck-the-halls_withemily,right,1606781536.7268112,128,71,64
266,2020-11-30,deck-the-halls_withemily,right,1606781537.020811,144,69,92
267,2020-11-30,deck-the-halls_withemily,right,1606781538.028811,128,69,64
268,2020-11-30,deck-the-halls_withemily,right,1606781538.805811,144,69,86
269,2020-11-30,deck-the-halls_withemily,right,1606781539.8298109,144,67,81
270,2020-11-30,deck-the-halls_withemily,right,1606781539.910811,128,69,64
271,2020-11-30,deck-the-halls_withemily,right,1606781540.074811,144,66,63
272,2020-11-30,deck-the-halls_withemily,right,1606781540.129811,128,67,64
273,2020-11-30,deck-the-halls_withemily,right,1606781540.711811,144,64,66
274,2020-11-30,deck-the-halls_withemily,right,1606781540.7728112,128,66,64
275,2020-11-30,deck-the-halls_withemily,right,1606781541.3228111,144,62,74
276,2020-11-30,deck-the-halls_withemily,right,1606781541.3548112,128,64,64
277,2020-11-30,deck-the-halls_withemily,right,1606781541.8178113,144,64,65
278,2020-11-30,deck-the-halls_withemily,right,1606781541.8428113,128,62,64
279,2020-11-30,deck-the-halls_withemily,right,1606781542.3988113,144,66,73
280,2020-11-30,deck-the-halls_withemily,right,1606781542.4448113,128,64,64
281,2020-11-30,deck-the-halls_withemily,right,1606781543.1038113,144,64,61
282,2020-11-30,deck-the-halls_withemily,right,1606781543.1178112,128,66,64
283,2020-11-30,deck-the-halls_withemily,right,1606781543.8538113,128,64,64
284,2020-11-30,deck-the-halls_withemily,right,1606781543.9958115,144,62,54
285,2020-11-30,deck-the-halls_withemily,right,1606781544.1568115,128,62,64
286,2020-11-30,deck-the-halls_withemily,right,1606781544.3448114,144,64,76
287,2020-11-30,deck-the-halls_withemily,right,1606781544.5158114,144,66,68
288,2020-11-30,deck-the-halls_withemily,right,1606781544.5378115,128,64,64
289,2020-11-30,deck-the-halls_withemily,right,1606781544.7208116,144,67,72
290,2020-11-30,deck-the-halls_withemily,right,1606781544.7508116,128,66,64
291,2020-11-30,deck-the-halls_withemily,right,1606781544.9028115,144,64,83
292,2020-11-30,deck-the-halls_withemily,right,1606781544.9278116,128,67,64
293,2020-11-30,deck-the-halls_withemily,right,1606781545.0708117,144,66,69
294,2020-11-30,deck-the-halls_withemily,right,1606781545.1008117,128,64,64
295,2020-11-30,deck-the-halls_withemily,right,1606781545.7688117,144,64,70
296,2020-11-30,deck-the-halls_withemily,right,1606781545.7868116,128,66,64
297,2020-11-30,deck-the-halls_withemily,right,1606781545.9878116,128,64,64
298,2020-11-30,deck-the-halls_withemily,right,1606781546.0168116,144,67,74
299,2020-11-30,deck-the-halls_withemily,right,1606781546.2938116,144,64,77
300,2020-11-30,deck-the-halls_withemily,right,1606781546.3168116,128,67,64
301,2020-11-30,deck-the-halls_withemily,right,1606781546.5558116,128,64,64
302,2020-11-30,deck-the-halls_withemily,right,1606781546.5748117,144,66,47
303,2020-11-30,deck-the-halls_withemily,right,1606781546.7498116,128,66,64
304,2020-11-30,deck-the-halls_withemily,right,1606781546.9268117,144,69,86
305,2020-11-30,deck-the-halls_withemily,right,1606781547.1288116,128,69,64
306,2020-11-30,deck-the-halls_withemily,right,1606781547.1868117,144,69,90
307,2020-11-30,deck-the-halls_withemily,right,1606781547.3108118,128,69,64
308,2020-11-30,deck-the-halls_withemily,right,1606781547.4298117,144,69,55
309,2020-11-30,deck-the-halls_withemily,right,1606781547.4298117,144,71,42
310,2020-11-30,deck-the-halls_withemily,right,1606781547.4848118,128,69,64
311,2020-11-30,deck-the-halls_withemily,right,1606781547.4908118,128,71,64
312,2020-11-30,deck-the-halls_withemily,right,1606781547.548812,144,71,91
313,2020-11-30,deck-the-halls_withemily,right,1606781547.666812,128,71,64
314,2020-11-30,deck-the-halls_withemily,right,1606781547.722812,144,71,90
315,2020-11-30,deck-the-halls_withemily,right,1606781547.859812,144,71,52
316,2020-11-30,deck-the-halls_withemily,right,1606781547.982812,128,71,64
317,2020-11-30,deck-the-halls_withemily,right,1606781547.982812,128,71,64
318,2020-11-30,deck-the-halls_withemily,right,1606781548.1158118,144,69,88
319,2020-11-30,deck-the-halls_withemily,right,1606781548.249812,128,69,64
320,2020-11-30,deck-the-halls_withemily,right,1606781548.310812,144,69,86
321,2020-11-30,deck-the-halls_withemily,right,1606781548.450812,128,69,64
322,2020-11-30,deck-the-halls_withemily,right,1606781548.504812,144,67,74
323,2020-11-30,deck-the-halls_withemily,right,1606781548.854812,144,66,69
324,2020-11-30,deck-the-halls_withemily,right,1606781548.8588119,128,67,64
325,2020-11-30,deck-the-halls_withemily,right,1606781549.370812,128,66,64
326,2020-11-30,deck-the-halls_withemily,right,1606781549.604812,177,64,0
327,2020-11-30,deck-the-halls_withemily,right,1606781551.284812,177,64,0
